,Date
1168,05/09/17
1169,05/10/17
1170,05/11/17
1171,05/12/17
1172,05/15/17
1173,05/16/17
1174,05/17/17
1175,05/18/17
1176,05/19/17
1177,05/22/17
1178,05/23/17
1179,05/24/17
1180,05/25/17
1181,05/26/17
1182,05/29/17
1183,05/30/17
1184,05/31/17
1185,06/01/17
1186,06/02/17
1187,06/05/17
1188,06/06/17
1189,06/07/17
1190,06/08/17
1191,06/09/17
1192,06/12/17
1193,06/13/17
1194,06/14/17
1195,06/15/17
1196,06/16/17
1197,06/19/17
1198,06/20/17
1199,06/21/17
1200,06/22/17
1201,06/23/17
1202,06/27/17
1203,06/28/17
1204,06/29/17
1205,06/30/17
1206,07/03/17
1207,07/04/17
1208,07/05/17
1209,07/06/17
1210,07/07/17
1211,07/10/17
1212,07/11/17
1213,07/12/17
1214,07/13/17
1215,07/14/17
1216,07/17/17
1217,07/18/17
1218,07/19/17
1219,07/20/17
1220,07/21/17
1221,07/24/17
1222,07/25/17
1223,07/26/17
1224,07/27/17
1225,07/28/17
1226,07/31/17
1227,08/01/17
1228,08/02/17
1229,08/03/17
1230,08/04/17
1231,08/07/17
1232,08/08/17
1233,08/09/17
1234,08/10/17
1235,08/11/17
1236,08/14/17
1237,08/16/17
1238,08/17/17
1239,08/18/17
1240,08/21/17
1241,08/22/17
1242,08/23/17
1243,08/24/17
1244,08/28/17
1245,08/29/17
1246,08/30/17
1247,08/31/17
1248,09/01/17
1249,09/04/17
1250,09/05/17
1251,09/06/17
1252,09/07/17
1253,09/08/17
1254,09/11/17
1255,09/12/17
1256,09/13/17
1257,09/14/17
1258,09/15/17
1259,09/18/17
1260,09/19/17
1261,09/20/17
1262,09/21/17
1263,09/22/17
1264,09/25/17
1265,09/26/17
1266,09/27/17
1267,09/28/17
1268,09/29/17
1269,10/03/17
1270,10/04/17
1271,10/05/17
1272,10/06/17
1273,10/09/17
1274,10/10/17
1275,10/11/17
1276,10/12/17
1277,10/13/17
1278,10/16/17
1279,10/17/17
1280,10/18/17
1281,10/19/17
1282,10/23/17
1283,10/24/17
1284,10/25/17
1285,10/26/17
1286,10/27/17
1287,10/30/17
1288,10/31/17
1289,11/01/17
1290,11/02/17
1291,11/03/17
1292,11/06/17
1293,11/07/17
1294,11/08/17
1295,11/09/17
1296,11/10/17
1297,11/13/17
1298,11/14/17
1299,11/15/17
1300,11/16/17
1301,11/17/17
1302,11/20/17
1303,11/21/17
1304,11/22/17
1305,11/23/17
1306,11/24/17
1307,11/27/17
1308,11/28/17
1309,11/29/17
1310,11/30/17
1311,12/01/17
1312,12/04/17
1313,12/05/17
1314,12/06/17
1315,12/07/17
1316,12/08/17
1317,12/11/17
1318,12/12/17
1319,12/13/17
1320,12/14/17
1321,12/15/17
1322,12/18/17
1323,12/19/17
1324,12/20/17
1325,12/21/17
1326,12/22/17
1327,12/26/17
1328,12/27/17
1329,12/28/17
1330,12/29/17
1331,01/01/18
1332,01/02/18
1333,01/03/18
1334,01/04/18
1335,01/05/18
1336,01/08/18
1337,01/09/18
1338,01/10/18
1339,01/11/18
1340,01/12/18
1341,01/15/18
1342,01/16/18
1343,01/17/18
1344,01/18/18
1345,01/19/18
1346,01/22/18
1347,01/23/18
1348,01/24/18
1349,01/25/18
1350,01/29/18
1351,01/30/18
1352,01/31/18
1353,02/01/18
1354,02/02/18
1355,02/05/18
1356,02/06/18
1357,02/07/18
1358,02/08/18
1359,02/09/18
1360,02/12/18
1361,02/14/18
1362,02/15/18
1363,02/16/18
1364,02/19/18
1365,02/20/18
1366,02/21/18
1367,02/22/18
1368,02/23/18
1369,02/26/18
1370,02/27/18
1371,02/28/18
1372,03/01/18
1373,03/05/18
1374,03/06/18
1375,03/07/18
1376,03/08/18
1377,03/09/18
1378,03/12/18
1379,03/13/18
1380,03/14/18
1381,03/15/18
1382,03/16/18
1383,03/19/18
1384,03/20/18
1385,03/21/18
